,Domain,area,keywords,Abstract
354,MAE , Strength of materials  , Die-quenching; Sheet forming; Hot forming; Water-cooling; High tensile steel sheet; Martensite        ,"A die-quenching process is one of the hot forming processes for making sturdy automobile parts. The process has some problems; low productivity, variation of temperature of dies and strength of materials, and all that. These problems are disordered for extending and upgrading the die-quenching process. The solution of this problem is figured out the characteristics of the die-quenching process. For the experiments, water-cooling dies were made from stainless steel and an installed chamber of a high-precision compress testing machine. In the experiment, temperature of dies and a workpiece was measured. Then, martensitic transformation time of the workpiece and maximum temperature of the die were obtained from these data for evaluation of quenching. After the experiment, hardness and microstructure of high-strength steel were obtained from an observation of the quenched workpiece. From these results, a new valuation method on the effect of die-quenching parameters is proposed and relationship among forming time, cooling rate of workpiece and temperature of dies was verified in this investigation."
93,Civil , Ambient Intelligence  , WiMax; IEEE 802.16.m; Communication Network; 4G; Broadband; Wireless        ,"4G WiMax offers a new parading regards to the way that the traditional wireless network systems have been designed all this happens due to the impact generating by technology in society and its impact in environmental ambient intelligence such smart cities (Sidi Bouzid area). the fundamental technological advantages of 4G WiMax superior radio technological advantages of 4G WiMax superior radio technology built in QOS and security, and an open IP-based access network infrastructure. This technology can be used for a number of applications, including ""last mile"" broadband connections, hotsposts and high speed connectivity for business customers. The objective of this article is to propose an approach to design a network on the latest standard of WiMax namely (802.16m), and to use it dimensioning and planning such network in Sidi-Bouzid area in order to optimize interferences, noise and to avoide cutout. In this article review of WiMax technology was given, followed by its standard with focusing on 802.16m standard. A design approach was developed to help network planner in their work to achieve the smart city in Sidi Bouzid of communications, this approach was summarized in a simple flow chart. As a case study, a network based on this technology was designed for Sidi Bouzid area. The number of subscriber was calculated for each district area and plotted in a clutter map. The Building Penetration Losses for each type of area were modeled using several measurements conducted as a part of this work, in fact we tried to minimize the noise and evry kind of interference. The design outcome (number of base station and there distribution) where found less than the existing ones in the operating network."
238,Civil , Ambient Intelligence  , ambient intelligence; ambient assisted living; Internet of Things; service-oriented; cloud computing; devices; sensors; services; gateway        ,"A common feature of ambient intelligence is that many objects are inter-connected and act in unison, which is also a challenge in the Internet of Things. There has been a shift in research towards integrating both concepts, considering the Internet of Things as representing the future of computing and communications. However, the efficient combination and management of heterogeneous things or devices in the ambient intelligence domain is still a tedious task, and it presents crucial challenges. Therefore, to appropriately manage the inter-connection of diverse devices in these systems requires: (1) specifying and efficiently implementing the devices (e.g., as services); (2) handling and verifying their heterogeneity and composition; and (3) standardizing and managing their data, so as to tackle large numbers of systems together, avoiding standalone applications on local servers. To overcome these challenges, this paper proposes a platform to manage the integration and behavior-aware orchestration of heterogeneous devices as services, stored and accessed via the cloud, with the following contributions: (i) we describe a lightweight model to specify the behavior of devices, to determine the order of the sequence of exchanged messages during the composition of devices; (ii) we define a common architecture using a service-oriented standard environment, to integrate heterogeneous devices by means of their interfaces, via a gateway, and to orchestrate them according to their behavior; (iii) we design a framework based on cloud computing technology, connecting the gateway in charge of acquiring the data from the devices with a cloud platform, to remotely access and monitor the data at run-time and react to emergency situations; and (iv) we implement and generate a novel cloud-based IoT platform of behavior-aware devices as services for ambient intelligence systems, validating the whole approach in real scenarios related to a specific ambient assisted living application."
452,Civil , Ambient Intelligence  , Just-in-time; Internet service; Ubiquitous computing; Location aware service; Ambient intelligence        ,"A fuzzy just-in-time (JIT) ubiquitous service networked system is established in this study. This system is an innovative application of mobile commerce, ubiquitous computing, and ambient intelligence. The intended user is a traveler who must decide on the best service location along the planned route; the system arranges the service when the user demands it, so that when the user arrives at the service location the required service is ready. This system applies the ""just-in-time"" concept to mobile commerce, ubiquitous computing, and ambient intelligence. This innovation has great potential for providing better services in these fields. The issue of how to determine the JIT service location and path in a ubiquitous service network is critical; however, because data about the user's position is inaccurate, the task is difficult. To tackle this difficulty, a FINLP model is formulated, and a fuzzy version of Dijkstra's algorithm is proposed. A test system has been established to evaluate the feasibility of the proposed methodology. Based on the experimental results, the proposed JIT ubiquitous service networked system was able to reduce the user's average waiting time by 74%."
637,Civil , Ambient Intelligence  , location-aware service (LAS); optimization; sustainability; ambient intelligence        ,"A location-aware service (LAS) is an imperative topic in ambient intelligence; an LAS recommends suitable utilities to a user based on the user's location and context. However, current LASs have several problems, and most of these services do not last. This study proposes an optimization-based approach for enhancing the sustainability of an LAS. In this paper, problems related to optimizing an LAS system are presented. The distinct nature of an LAS optimization problem in comparison with traditional optimization problems is subsequently described. Existing methods applicable to solving an LAS optimization problem are also reviewed. The advantages and disadvantages of each method are then discussed as a motive for combining multiple optimization methods in this study, as illustrated by an example. Finally, opportunities and challenges faced by researchers in this field are presented."
818,Civil , Ambient Intelligence  , Freight transport; smart container; IoT        ,"A new approach to implement a smart ecosystem for freight transportation is proposed. It is aimed to improve efficiency, safety, security and sustainability by including ambient intelligence in both the containers and the infrastructure that supports them. It involves technological as well as organizational and logistic improvements to achieve this goal. The approach is developed in an R+D project named ECOTRANSIT funded by the Spanish MINECO and involving the University of Seville and the Public University of Navarre. The proposal represents a qualitative step beyond existing projects, with innovation in key areas such as logistics and in critical enabling technologies like microelectronics and ICTs."
142,Civil , Geotextile  , Geotextile encasement; Granular columns; Soft soil; Stress concentration; Differential settlement; Soil arching        ,"A 5.35m high test embankment was constructed on a soft foundation improved by geotextile-encased granular columns (GECs). The embankment construction was performed in four stages over 65days, resulting in a total applied stress of around 150kPa. The soft soil and the encased columns were instrumented to measure surface settlements, excess pore pressure, surface vertical stresses, and radial deformation of the geotextile encasement. Stress concentration and the difference in settlement between the top of the encased columns and the soft soil were studied. Results showed that the differential settlement increased as the embankment height increased and when the excess pore pressure was being dissipated. Due to soil arching, the vertical stress supported by the encased column was over two times greater than the stress transmitted to the soft soil. Also, vertical stress on the encased column increased as consolidation progressed, whereas it did not vary significantly on the soft soil. (C) 2014 American Society of Civil Engineers."
275,Civil , Geotextile  , Constructed wetland; Geotextile bag; Nitrogen removal; Phosphorus removal; Solids separation; Swine wastewater; Zeolite        ,"A comprehensive treatment system consisting of geotextile bag, zeolite bed and constructed wetland has been devised to remove solids and nutrients from swine house waste. Alkalinity was observed to be reduced by 44% after geotextile bag and 77% after wetlands. In one day (24 h) waste flush cycle, COD was reduced by 72% after geotextile bag and further reduced by 95% after zeolite treatment followed by constructed wetland. When wastewater was passed through geotextile bag, 71% reduction of COD occurred during 96 h flush cycle and further reduction of 87% was observed after zeolite. Reductions of 94% total N, 92% NH4+-N, 88% total P, and 87% o-PO4--P were observed after the wastewater was passed through the geotextile bag, zeolite, and wetland treatment systems during 24 h flush cycle. Approximately 50% NH4+-N was adsorbed by the zeolite bed and 12% was presumed to be lost through NH3 volatilization process during zeolite treatment. (C) 2013 Elsevier B. V. All rights reserved."
384,Civil , Geotextile  , Geotextile-encased sand columns; Settlement; Average settlement rate        ,"A dyke construction was dealed with geotextile-encased sand columns. The dyke was used to enclose a polder in Hamburg-Finkenwerder, Germany. With the help of geotextile, the columns can be used in very soft soils, even undrained shear strength c(u) < 15 kN/m(2), without excessive bulging. After the system is installed, the dike can be filled immediately. To analysis observed data of the long-term settlements in the dyke, three stages can be gotten i.e. ""Primary settlements"" - ""Secondary settlements"" - ""Creep settlements"". Most settlements occurred during the primary filling, while, only little settlements appeared after that construction was accomplished. The settlement rate decreases from the first settlement stage to the last one. No jump takes place when unloading soft soil. Furthermore, the method shorten time and saved a lot of money."
439,Civil , Geotextile  , Geosynthetics; Geotextile; Granular columns; Soft clay; Test embankment; Finite-element analysis        ,"A full-scale test embankment was constructed on a soft deposit (S-u < 20 kPa) improved by geotextile-encased granular columns to assess its serviceability performance for a nearby stockyard foundation. The behaviour of the improved foundation was monitored by means of instrumentation with respect to surface settlements, excess pore pressures, total vertical stresses acting on the top of the encased column and surrounding soft soil as well as geotextile radial deformation. Two-dimensional finite-element analysis was performed using an axi-symmetric unit cell, and then the results were compared with field measurements. It was observed that the soil arching progressed during post-construction due to a decrease in apparent stiffness of soft clay from quasi undrained to drained stiffness. Furthermore, there was a difference in settlement between the top of the encased column and the surrounding soft soil, midpoint between the columns, which increased during both construction and consolidation stages. A measured relation was also found to correlate the geotextile expansion with the maximum settlement occurring below the embankment."
453,Civil , Geotextile  , Soil erosion; Universal soil loss equation; Coir geotextile; Mathematical model; Fuzzy logic        ,"A fuzzy logic-based modeling approach using the universal soil-loss equation (USLE) along with selection and application of the appropriate coir geotextile (CG) in soil erosion control was attempted in this study. The fuzzy logic model was developed to address issues of soil erosion risk with constant rainfall intensity. Two simple and efficient fuzzy logic soil erosion models were developed, of which one was for predicting soil erosion intensity (fuzzy-soil erosion model, or F-SEM) and the other was for selecting an appropriate CG type for soil erosion control based on types of soil in various combinations of slope angle and length, crop cover, rainfall intensity, and so forth (fuzzy-CG model, or F-CGM). These two models were developed in such a way that the input data requirement was the minimum for model execution. The considered input parameters were the main primary governing factors that influence soil erosion intensity in the USLE platform. F-SEM and F-CGM was compared with actual field data and found to be very closely matching. F-SEM predicts the erosion intensity of an area, and F-CGM can be used in the selection of CGs for erosion control application. (c) 2014 American Society of Civil Engineers."
420,Civil , Remote Sensing  , Madeira fires; Sentinel-2; Spectral indices; Burn severity        ,"A forest fire started on August 8th, 2016 in several places on Madeira Island causing damage and casualties. As of August 10th the local media had reported the death of three people, over 200 people injured, over 950 habitants evacuated, and 50 houses damaged. This study presents the preliminary results of the assessment of several spectral indices to evaluate the burn severity of Madeira fires during August 2016. These spectral indices were calculated using the new European satellite Sentinel-2A launched in June 2015. The study confirmed the advantages of several spectral indices such as Normalized Difference Vegetation Index (NDVI), Green Normalized Difference Vegetation Index (GNDVI), Normalized Burn Ratio (NBR) and Normalized Difference Vegetation Index (NDVIreXn) using red-edge spectral bands to assess the post-fire conditions. Results showed high correlation between NDVI, GNDVI, NBR and NDVIreln spectral indices and the analysis performed by Copernicus Emergency Management Service (EMSR175), considered as the reference truth. Regarding the red-edge spectral indices, the NDVIreln (using band B5, 705 nm) presented better results compared with B6 (740 nm) and B7 (783 nm) bands. These preliminary results allow us to assume that Sentinel-2 will be a valuable tool for post-fire monitoring. In the future, the two twin Sentinel-2 satellites will offer global coverage of the Madeira Archipelago every five days, therefore allowing the simultaneous study of the evolution of the burnt area and reforestation information with high spatial (up to 10 m) and temporal resolution (5 days). (C) 2017 Elsevier B.V. All rights reserved."
643,Civil , Remote Sensing  , Snow cover extent; Snow cover duration; Remote sensing; Long-term data; Climate; AVHRR; MODIS        ,"A long-term Northern Hemisphere (NH) daily 5-km snow cover extent (SCE) product (JASMES) was developed by the application of a consistent objective snow cover mapping algorithm to data from historical optical sensors on polar orbiting satellites from 1978 to 2015. A conventional decision tree algorithm with multiple threshold tests was employed to analyze radiances for the five spectral bands available across the full analysis period. The accuracies of the analyzed SCE maps were evaluated against in-situ snow data measured at ground stations along with the SCE maps from the National Oceanic and Atmospheric Administration Climate Data Record (NOAA-CDR) product. The evaluation showed the JASMES product to have a more temporally stable producer's accuracy (PA; 1-omission error) than NOAA, which is a key factor in the analysis of long-term SCE trends. Comparison of seasonal NH SCE trends from the two products showed NOAA to have opposite trends to those of JASMES in the fall and winter seasons, and to have overestimated SCE decreasing trends in the spring and summer. These tendencies are consistent with the increasing spatial and temporal resolutions of information over time, which were used in generating the NOAA snow analysis. An estimation of unbiased SCEs based on the accuracies of SCE maps also endorses the long-term trends of the JASMES product The JASMES NH seasonal SCE exhibited negative slopes in all seasons but was only statistically significant in the summer (JJA) and fall (SON). Delayed snow cover onset was observed to be the main driver of decreasing annual snow duration (SCD) trends. The spatial pattern of annual SCD trends exhibited noticeable asymmetry between continents, with the largest significant decreases observed over western Eurasia with relatively few statistically significant decreases over North America. (C) 2017 The Authors. Published by Elsevier Inc."
870,Civil , Remote Sensing  , elementary vibrator; radiation; near and far zones; causal surface; strong attenuation and phase transition; remote sensing        ,"A new look at the description of the phenomenon of electromagnetic wave radiation as a phase transition of a quasi-static field state (near zone) in the field of running wave (far zone) is suggested. It is demonstrated that the boundary of this transition, called the causal surface, is sufficiently localized. The position of the causal surface depends on the chosen radiation frequency. The skin layer in media with strong absorption is formed at the boundary of the causal surface, and this can be used for depth sensing of such media."
875,Civil , Remote Sensing  , Oceans; remote sensing; self-organizing feature maps        ,"A new method based on modified self-organizing maps is presented for the reconstruction of deep ocean current velocities from surface information provided by satellites. This method takes advantage of local correlations in the data-space to improve the accuracy of the reconstructed deep velocities. No assumptions regarding the structure of the water column, nor the underlying dynamics of the flow field, are made. Using satellite observations of surface velocity, sea-surface height and sea-surface temperature, as well as observations of the deep current velocity from autonomous Argo floats to train the map, we are able to reconstruct realistic high-resolution velocity fields at a depth of 1000 m. Validation reveals promising results, with a speed root mean squared error of similar to 2.8 cm.s(-1), more than a factor of two smaller than competing methods, and direction errors consistently smaller than 30 degrees. Finally, we discuss the merits and shortcomings of this methodology."
997,Civil , Remote Sensing  , Urban land-use change; cellular automata; logistic regression (LR); generalized pattern search (GPS); global optimization; simulation accuracy        ,"A novel generalized pattern search (GPS)-based cellular automata (GPS-CA) model was developed to simulate urban land-use change in a GIS environment. The model is built on a fitness function that computes the difference between the observed results produced from remote-sensing images and the simulated results produced by a general CA model. GPS optimization incorporating genetic algorithms (GAs) searches for the minimum difference, i.e. the smallest accumulated residuals, in fitting the CA transition rules. The CA coefficients captured by the GPS method have clear physical meanings that are closely associated with the dynamic mechanisms of land-use change. The GPS-CA model was applied to simulate urban land-use change in Kunshan City in the Yangtze River Delta from 2000 to 2015. The results show that the GPS method had a smaller root mean squared error (0.2821) than a logistic regression (LR) method (0.5256) in fitting the CA transition rules. The GPS-CA model thus outperformed the LR-CA model, with an overall accuracy improvement of 4.7%. As a result, the GPS-CA model should be a superior tool for modeling land-use change as well as predicting future scenarios in response to different conditions to support the sustainable urban development."
480,Civil , Rainwater Harvesting  , Rainwater harvesting; Irrigation; Langevin equation; Stochastic control; Rule curve; Jordan Rift Valley        ,"A generic rainwater harvesting system including a catchment area and a command area is often equipped with rainwater storage tanks. The stochastic nature of precipitation dominates water balance of rainwater harvesting systems, and the theory of stochastic control better serves for determining optimal strategies for water management. A mathematical model consisting of stochastic differential equations, with few model parameters that can be identified from observed data, is developed to describe dynamics of rainwater harvesting systems for irrigation. Stochastic control problems are formulated and then solved to obtain the optimal irrigation strategies during dry spells. This procedure can be inversely applicable to designing dimensions of a system. Identification of the model parameters is demonstrated with the data observed in an experimental micro rainwater harvesting system in Japan as well as in semiarid savanna of Ghana. Then, a real life application is discussed in the context of the Jordan Rift Valley, where a rainwater harvesting system will be developed. (C) 2014 Elsevier Ltd. All rights reserved."
489,Civil , Rainwater Harvesting  , Drought risk management; Non-parametric composite indicators; Global; Hazard; Exposure; Vulnerability        ,"A global map of drought risk has been elaborated at the sub-national administrative level. The motivation for this study is the observation that little research and no concerted efforts have been made at the global level to provide a consistent and equitable drought risk management framework for multiple regions, population groups and economic sectors. Drought risk is assessed for the period 20002014 and is based on the product of three independent determinants: hazard, exposure and vulnerability. Drought hazard is derived from a non-parametric analysis of historical precipitation deficits at the 0.5; drought exposure is based on a non-parametric aggregation of gridded indicators of population and livestock densities, crop cover and water stress; and drought vulnerability is computed as the arithmetic composite of high level factors of social, economic and infrastructural indicators, collected at both the national and sub-national levels. The performance evaluation of the proposed models underlines their statistical robustness and emphasizes an empirical resemblance between the geographic patterns of potential drought impacts and previous results presented in the literature. Our findings support the idea that drought risk is driven by an exponential growth of regional exposure, while hazard and vulnerability exhibit a weaker relationship with the geographic distribution of risk values. Drought risk is lower for remote regions, such as tundras and tropical forests, and higher for populated areas and regions extensively exploited for crop production and livestock farming, such as South-Central Asia, Southeast of South America, Central Europe and Southeast of the United States. As climate change projections foresee an increase of drought frequency and intensity for these regions, then there is an aggravated risk for global food security and potential for civil conflict in the medium- to long-term. Since most agricultural regions show high infrastructural vulnerability to drought, then regional adaptation to climate change may begin through implementing and fostering the widespread use of irrigation and rainwater harvesting systems. In this context, reduction in drought risk may also benefit from diversifying regional economies on different sectors of activity and reducing the dependence of their GDP on agriculture. (C) 2016 European Commission. Published by Elsevier Ltd."
548,Civil , Rainwater Harvesting  , watershed development; participatory research; improved technology; livelihood; Indian Himalaya        ,"A high-altitude (>1,500 m asl) integrated participatory watershed development programme was implemented between 2004 and 2008 in the West Khasi Hills, Meghalaya, North-Eastern Indian Himalaya. The aim was to assess and refine practices for integrating crop, fish and livestock production systems. Soil and water conservation measures, with the active participation of local inhabitants, included the construction and renovation of ponds, jalkunds (micro rainwater-harvesting structures) and bench and half-moon terraces. Impact analysis revealed that 4.3 million litres of water were harvested and enhanced potato and rice crop productivity by 30% to 40% and 45% to 50% respectively. Farmers are now able to earn net incomes of around $56.8 and $8.9 per month from community dairy units and fish ponds respectively."
639,Civil , Rainwater Harvesting  , Alternative water; Principal component analysis; Positive matrix factorisation; Reuse; Multivariate; Rainwater harvesting        ,"A longitudinal harvested rainwater quality monitoring study was undertaken at 6 sites within Selangor, Malaysia over a period of 8 months. Overall, harvested rainwater is of good quality, falling within the Malaysian recreational water quality Class BB standards with exceptions for pH (18/92), ammonia (1/92), phosphates (3/92), and total coliforms (8/92). A large number of samples tested positive for Escherichia coli (22/92), total coliforms (64/92) and Chromobacterium violaceum (7/92), showing that disinfection of harvested rainwater is mandatory prior to reuse. 2/37 harvested rainwater samples exceeded lead limits in Malaysian drinking water standards, showing that consuming rainwater without additional treatment may pose a health risk. Mixing harvested rainwater with groundwater resulted in higher phosphates and total coliforms. Rainwater collected during the wet seasons have higher concentrations of suspended solids, turbidity, and Escherichia coli than dry seasons due to the antecedent dry period. Last but not least, both principal component analysis and positive matrix factorisation were conducted on 37 samples to apportion pollutant sources in harvested rainwater. 7 principal components were identified, namely: industrial dust, steel, roadside dust, faeces, organic decay, fertilisers, and plumbing. The results from principal component analysis and positive matrix factorisation were in agreement, although the latter identified mains water top-up as an additional factor responsible for dissolved solids. Both techniques are effective at apportioning pollutant sources in harvested rainwater, and show that a rainwater harvesting system should be designed carefully to reduce contributions from steel, plumbing, organic decay, bird faeces, industrial dust and roadside dust. (C) 2017 Elsevier Ltd. All rights reserved."
1048,Civil , Rainwater Harvesting  , Rainwater harvesting; Arid region; Shallow water equations; Numerical experiment; Hydraulic model test        ,"A novel type of hydraulic structure is proposed for rainwater harvesting in an arid area of Jordan. The project is to develop an irrigation scheme near the Dead Sea, where low annual precipitation and high salinity are the major concerns. The scheme consists of an irrigated farm, a reservoir, and an intake structure to divert ephemeral flood flows into the reservoir. The harvested water is expected to be fresh in comparison with the groundwater in the vulnerable freshwater lens. This research focusses on hydraulic design and actual construction processes of the structure. The structure consists of a gutter cutting across a 16 m wide valley bottom and a conveyance channel of 60 m long to guide the water into the reservoir. The conveyance channel is equipped with a spillway part. As a result of level surveys and hydrological considerations, it was revealed that the structure should have a width of 1.6 m and supercritical flows should be dominant. Details of structure dimensions were designed with numerical and model experiments. A finite volume scheme for the two-dimensional shallow water equations was used to numerically reproduce the whole flow field during a rainwater harvesting event with the maximum design discharge. The numerical scheme employs special fluxsplitting and data reconstruction techniques that realize stable computation of very shallow transcritical flows. A distorted hydraulic model with 1/8 horizontal scale and 1/1 roughness scale was constructed in an experimental station in Japan, in order to test hydraulic phenomena that the numerical method cannot represent. Then, the structure was actually constructed at the site. The channel bottoms are made of reinforced concrete, while the side walls are of concrete blocks whose sizes have been chosen according to the design. However, minor changes were made during the construction processes due to workability constraints. The numerical experiments were conducted again to confirm the actual structure showing desired performance."
42,Civil , Water Pollution  , marine; freshwater; Red List; springs; coral reef    pond; lagoon    conservation assessment      ,"1. Invertebrates inhabiting marine and freshwater ecosystems make important contributions to global biodiversity and provide significant services that have cascading effects across ecosystems. However, this group is grossly under-represented in assessments of conservation status and often neglected in targeted aquatic conservation efforts. 2. In global assessments of 7857 freshwater invertebrates and 2864 marine invertebrates, 30-34% were considered Data Deficient highlighting the paucity of information for making such assessments. Of the invertebrate groups that could be assessed, those with poor dispersal abilities and high local endemism, such as many gastropods, crayfish and mussels, are the most threatened. 3. Springs and subterranean hydrological systems support the highest proportions of threatened freshwater species, while in marine environments coral reefs, lagoons and anchialine systems are particularly vulnerable. 4. Key agents of biodiversity decline in aquatic ecosystems are water pollution, overexploitation and harvesting, habitat degradation and destruction, alien invasive species, and climate change. Effects of dams and water management along with pollution from urban, agricultural and forestry sources are the main threats in freshwater ecosystems, whereas a broad range of factors have impacts on marine invertebrates, including biological resource use. 5. Significant impediments facing conservation of aquatic invertebrates are limited knowledge of their diversity, the need for broadscale actions to account for connectivity within and across ecosystems, lack of political will and investment, and the prospect that conditions may get worse before they improve, possibly not in time to save some already highly imperilled invertebrate species from extinction. Copyright (C) 2016 John Wiley & Sons, Ltd."
271,Civil , Water Pollution  , Lake water; Water pollution; Water quality index; Entropy weight; Seasonal variation; Loess area        ,"A comprehensive assessment on lake water quality was carried out in Shahu Lake, northwest China, to provide valuable information about present lake water quality for decision making. Major ions, general parameters, bacteriological parameters, organics and trace metals monitored monthly in 2014 were considered. Monitored parameters were compared with quality criteria for surface water of China, and overall water quality assessment was carried out using an entropy weighted water quality index (EWQI) based on 20 selected parameters. Lake water quality was also assessed for irrigation purpose. The results show that the lake water is of Cl center dot SO4-Na facies with high salinity and COD. The geochemistry of the lake water is regulated by intense evaporation and human activities. TP, TN and F- are major inorganic contaminants, with over 50% of the water samples polluted by them. Oil, mainly attributed by leaky motor tourist boats, is the major organic pollutants in the lake water, with 10 samples (37.04%) showing higher oil content than the permissible limit. The concentrations of other inorganic and organic contaminants as well as trace metals are well below the permissible limits. The present study indicates that inorganic contamination in the lake water is more severe than organic pollution. The overall lake water quality, assessed by EWQI, is poor and very poor with SO42-, TDS, TH and Cl-being the dominant contributing factors. The lake water is suitable for irrigation in terms of alkalinity, but is unsuitable for irrigation from the salinity point of view. Accelerating the circulation and replenishment of the lake water is an important way of reducing contaminant concentrations. This study is important in providing comprehensive information on lake water quality for decision makers and valuable reference for international lake water researchers."
451,Civil , Water Pollution  , Water quality assessment; Fuzzy inference; Water pollution index; Fuzzy comprehensive evaluation        ,"A fuzzy improved water pollution index was proposed based on fuzzy inference systemand water pollution index. This method can not only give a comprehensive water quality rank, but also describe the water quality situation with a quantitative value, which is convenient for the water quality comparison between the same ranks. This proposed method is used to assess water quality of Qu River in Sichuan, China. Data used in the assessment were collected from four monitoring stations from 2006 to 2010. The assessment results show that Qu River water quality presents a downward trend and the overall water quality in 2010 is the worst. The spatial variation indicates that water quality of Nanbashequ section is the pessimal. For the sake of comparison, fuzzy comprehensive evaluation and grey relational method were also employed to assess water quality of Qu River. The comparisons of these three approaches' assessment results show that the proposed method is reliable. (C) 2016 The Research Center for Eco-Environmental Sciences, Chinese Academy of Sciences. Published by Elsevier B.V."
507,Civil , Water Pollution  , Water-saving ground cover rice production system (GCRPS); Biodegradable film; Nitrogen split application; Crop growth rate; Nitrogen use efficiency        ,"A ground cover rice production system (GCRPS) has been reported to reduce the consumption of irrigation water while increasing grain yield and water use efficiency in regions where water and temperature are limiting factors for rice production. However, all fertilizer must be applied in a single basal dose before the soil surface is covered by plastic film in GCRPS resulting in excessive vegetative crop growth and nitrogen deficiency during the reproductive stage. Furthermore, a severe drawback of GCRPS is soil and water pollution from residuals polyethylene film used for ground cover. A two-year field experiment was conducted using biodegradable film together with treatments comparing all basal application of N with application of N as three splits and a single basal fertilization of urea plus manure. We examined N uptake and crop growth from transplanting harvest, rice grain yield, yield components, dynamics of tillers and shoot dry matter, and N recovery efficiency. Compared to basal application of all N fertilizer in GCRPS, split application of N or a basal combination of urea plus manure in conjunction with the use of biodegradable film 1) significantly increased rice grain yield, number of productive tillers, and spikelets per square meter; 2) improved crop growth rate and N uptake rate from panicle initiation to maturity; and 3) significantly increased agronomic efficiency of N fertilizer and recovery efficiency of N in grains. Our results highlight that using biodegradable film instead of standard plastic film allows for split application of fertilizers, which increases yield and N use efficiency as well as significantly reduce environmental pollution with plastic film in GCRPS. (C) 2016 Elsevier B.V. All rights reserved."
568,Civil , Water Pollution  , Risk perception; Risk communication; Environmental hazard; Environmental communication; Arsenic; Human biomonitoring        ,"A human biomonitoring (HBM) survey in four areas affected by natural or anthropogenic arsenic pollution was conducted in Italy within the framework of the SEpiAs project. A questionnaire, including the exploration of risk perception (RP) regarding environmental hazards and access to and trust in information, was administered to 282 subjects stratified by area, gender and age. The survey was designed to investigate how populations living in polluted areas could adopt prevention-oriented habits, fostered by the awareness of existing risks and, in addition, how increased knowledge of RP and information flows could support researchers in identifying recommendations, and presenting and disseminating HBM results. This study characterizes the four areas in terms of RP and access to and trust in environmental information, and provides insights into the influence of RP and environmental information on food consumption. For the data analysis, a combined random forest (RF) and logistic regression approach was carried out. RF was applied to the variables derived from the questionnaire in order to identify the most important in terms of the aims defined. Associations were then tested using Fisher's exact test and assessed with logistic regression in order to adjust for confounders. Results showed that the perception of and personal exposure to atmospheric and water pollution, hazardous industries and waste, hazardous material transportation and waste was higher in geographical areas characterized by anthropogenic pollution. Citizens living in industrial areas appeared to be aware of environmental risks and had more confidence in environmental non-governmental organizations (NGOs) than in public authorities. In addition, they reported an insufficient circulation of information. Concerning the influence of RP and environmental information on food consumption, a high perception of personal exposure to atmospheric pollution and hazardous industries was associated with a lower consumption of local fish. In conclusion, different RPs and information flow patterns were observed in areas with arsenic of natural origin or in industrial contexts. These findings may be useful for targeted risk communication plans in support of risk management strategies. (C) 2016 Elsevier Ltd. All rights reserved."
123,Civil , Suspension Bridge  , site investigation; bridges; suspension; traffic engineering; dynamics; cable-stayed bridges        ,"A 269 tonne trailer travelled across the Tamar Suspension Bridge in October 2010, and the authors monitored the response of the structure to the load. The following investigation documents the deflection of towers and the deck during the vehicle's passage, as well as the change in cable tensions. This was achieved by studying monitored data from the bridge collected by accelerometers and strain gauges attached to the stay cables, as well as two robotic total stations that measured the deflection of the mid-span and the sway of the tower saddle. These results were subsequently compared to the response predicted by a finite element (FE) model of the bridge, indicating an accurate match. The FE model was also used to simulate the variation of the dynamic response of the structure, which suggests that the natural frequencies vary depending on the vehicle's location to each mode shape's anti-nodes."
134,Civil , Suspension Bridge  , cable-stayed bridge; dynamic characteristics; finite element (FE) method; wind field simulation; buffeting response; parameter effects; elastic connection device        ,"A 3D finite element (FE) model for the Sutong cable-stayed bridge (SCB) is established based on ANSYS. The dynamic characteristics of the bridge are analyzed using a subspace iteration method. Based on recorded wind data, the measured spectra expression is presented using the nonlinear least-squares regression method. Turbulent winds at the bridge site are simulated based on the spectral representation method and the FFT technique. The influence of some key structural parameters and measures on the dynamic characteristics of the bridge are investigated. These parameters include dead load intensity, as well as vertical, lateral and torsional stiffness of the steel box girder. In addition, the influence of elastic stiffness of the connection device employed between the towers and the girder on the vibration mode of the steel box girder is investigated. The analysis shows that all of the vertical, lateral and torsional buffeting displacement responses reduce gradually as the dead load intensity increases. The dynamic characteristics and the structural buffeting displacement response of the SCB are only slightly affected by the vertical and torsional stiffness of the steel box girder, and the lateral and torsional buffeting displacement responses reduce gradually as the lateral stiffness increases. These results provide a reference for dynamic analysis and design of super-long-span cable-stayed bridges."
